Country code,Year,"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",Price level ratio of PPP conversion factor (GDP) to market exchange rate,Population growth (annual %),Literacy rate total (% of people aged 15 and above),Net investment in nonfinacial assets,Age dependency ratio,Trade (% of GDP),GDP per capita growth (annual %),Terms of trade adjustment (constant LCU),Access to electricity,Total tax and contribution rate (% of profit),Access to fresh water,"Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)","Unemployment, total (% of total labor force)",R&D expenditure (% of GDP)
SEN,1986,19.9021682507357,6.18477854456931,,,2.87483360565634,,,100.163718891472,44.8247040340199,0.204466371292256,-185031547969.691,,,3844.50039003798,22.0212309210718,48.4743121678446,,
SEN,1987,20.0440917685283,-4.14072378633806,,,2.92152135159267,,,100.061525437077,39.3920531855599,3.19648349122912,-190547348462.946,,,3733.80732425381,22.622808670216,47.5589714287023,,
SEN,1988,21.3923442459593,-1.82668225079297,,,2.90674570037734,26.8688507080078,,99.761251466905,40.6318676835579,-3.6580875830529,-160391336963.42,,,3626.83724610031,19.287074800268,49.6898530125647,,
SEN,1989,21.1296513419603,0.447309340771324,,,2.88470643804651,,,99.2792090051653,42.9574202579719,1.01729294588976,-293027809088.076,,,3523.70827410408,21.1753467688328,50.5435057713972,,
SEN,1990,22.2092410680354,0.32509863018325,,0.632751602181156,2.88311000862987,,,98.6735590766322,44.7892639604104,-3.56701824622392,-174002057066.399,,,3423.56642468598,18.4661416517011,51.2212027718411,,
SEN,1991,22.1348836648632,-1.7535569019931,,0.585244024028118,2.85544396696351,,,97.9117689321712,42.1828996492748,-0.229978371185013,-163888496174.634,,,3327.19092620871,18.6964119299712,50.6331261027583,5.60799980163574,
SEN,1992,24.1351734772487,-0.109942967085643,,0.604805211340741,2.80045967350139,,,96.9967710323235,41.4568617276384,-1.47783695492298,-132440800177.751,,,3235.30687888942,17.1434329851955,50.242982400706,5.63100004196167,
SEN,1993,23.6468284710775,-0.586434615120187,,0.552728427436632,2.74627496579219,,,96.0207773821168,38.7742599564223,-1.38554159384555,-112386944886.289,26.0,,3147.66540219173,19.16536139705,49.7185625201132,5.63000011444092,
SEN,1994,24.2278661595786,32.2936668569552,,0.369961909632748,2.65396577748329,,,95.0409257043733,54.7381345984609,-2.66533395215353,-443599470172.48,27.190486907959,,3065.22623211105,17.7400079519252,50.8963621066523,5.65399980545044,
SEN,1995,23.825082914844,7.86400784570113,,0.431727901509757,2.53020035291858,,,94.1063516240282,52.7254034277702,2.83349545126057,-424666146833.686,28.8571910858154,,2988.64280980613,19.4701646746387,48.8479768764757,5.55499982833862,
SEN,1996,24.2254129816603,2.75430663482405,,0.43090060102879,2.41189015578578,,,93.2396250942061,46.272432717398,-0.411196109401573,-375745925782.59,30.5211772918701,,2917.42236009744,18.3370625955044,49.000894116041,5.61600017547607,
SEN,1997,23.3582596823514,1.75316478097235,,0.37860016019716,2.32607796078074,,,92.434240667729,47.2413224036235,0.676342248589279,-306353584502.354,32.2,,2850.34401332193,18.1914042241839,49.8528068957637,5.59700012207031,
SEN,1998,23.5753068360213,1.15678070391345,,0.380692992184858,2.29340313946298,,,91.6595668420635,48.0986748167655,3.49743828228554,-360077812674.343,33.8382682800293,,2785.71803393955,17.8319277715595,50.0507265130305,5.54699993133545,
SEN,1999,23.2443931005786,0.827250608272504,,0.357945322556884,2.31639981025849,,,90.9091330223943,49.4852621662422,3.84965726097957,-335451951958.888,36.2,,2721.93129676605,17.3760117354229,50.3059204333259,5.53999996185303,
SEN,2000,24.0081947042607,0.731981981981545,,0.307296469661374,2.35349186373024,,,90.1692424848725,48.680089723263,1.47078068161998,-533006966728.493,37.7400016784668,,2658.61881455072,16.4392452034714,50.5601905708335,5.58199977874756,
SEN,2001,23.8843480318636,2.97450083919572,,0.311805321515503,2.38007633836581,,,89.4418571580253,49.7205780648314,1.85748537835701,-310906802327.54,38.7576179504395,,2596.08874075307,16.2524323093589,49.2404719048245,5.57399988174438,
SEN,2002,24.7837929266149,2.33730187454302,,0.330314855545137,2.41498169831971,39.2752494812012,,88.7616463226062,53.1442994641329,-2.31899690946396,-438260486637.459,36.7999992370605,,2534.14465251278,13.3807801250726,50.4637711431131,5.65000009536743,
SEN,2003,24.2086161157819,-0.0519970242714566,,0.383921583639423,2.45996800523196,,,88.1908293414902,50.8212198933376,3.02806294089615,-331747671955.13,41.9641342163086,,2472.56601751267,15.4910998381045,50.7893753360918,6.64099979400635,
SEN,2004,25.0673709569857,0.514781781022991,,0.410595047680177,2.50033904791585,,,87.7268131629805,53.6592031275529,2.05929577338581,-514339741390.458,36.7999992370605,,2411.50996883637,14.2017995388,50.6690012194278,7.75799989700317,
SEN,2005,23.6818582271971,1.71133325855505,3.0,0.41696826458746,2.54126351828797,,,87.3115586037765,54.9032435689485,1.69283885897526,-364044749619.937,47.0999984741211,50.3,2350.99927037011,15.1803964143562,49.6862123536231,8.86499977111816,
SEN,2006,23.4152166861911,2.11228583877112,3.0,0.420008681200307,2.60233440516001,41.8911514282227,,87.0248138492227,54.1362378092613,-0.297866563165542,-404115220847.529,49.9000015258789,45.5,2290.60761207974,13.3951515867003,51.9152517286897,10.0299997329712,
SEN,2007,23.6352865631739,5.85330428467685,3.0,0.47578367009586,2.63281190597884,,,86.8468003822291,59.2713043549794,0.155202178419074,-343715718460.104,48.3618087768555,45.5,2231.08719062798,12.2459105728806,53.2209644120259,10.0729999542236,
SEN,2008,22.0817260947223,7.34720236578405,3.0,0.542151913435962,2.63754388814397,,,86.703541082412,62.7617698176319,1.0037086838431,-514932931935.35,49.9726524353027,45.5,2173.01055198764,14.6866270243556,53.5524725330782,10.1040000915527,0.293740004301071
SEN,2009,22.0007291744608,-2.24802147855339,3.0,0.502243314378473,2.67674749775798,48.0367813110352,,86.678732253125,52.3072908773365,0.038174664910585,-288519749877.099,53.5,45.5,2115.61612522611,16.1077336169075,52.3709526949588,10.1940002441406,
SEN,2010,21.7761763055679,1.22868119673344,3.0,0.479272755879775,2.71070159961371,,,86.7471743398447,52.4578551962948,0.625915167183067,-224532614976.787,56.5,45.5,2059.03837640514,15.945261535619,52.4270621171615,10.2329998016357,0.434300005435944
SEN,2011,23.3061329625455,3.40322829786967,3.5,0.511993164566895,2.72203680436678,51.8145484924316,,86.8192680987191,57.5768785989578,-1.38705683397437,-262373219983.626,56.5,45.5,2003.74654004231,12.9470610352017,53.7636944684195,10.3599996566772,
SEN,2012,23.1117975253125,1.41822871177848,3.5,0.481043535726144,2.72697235540654,,,86.8579923470858,61.9753040040375,1.20518376811296,-372152807954.183,56.5,45.5,1949.84323033702,14.0976923523704,53.7359773167972,9.40999984741211,
SEN,2013,24.294212523467,0.710245486695225,3.5,0.500530703127721,2.71181928883915,43.5345001220703,,86.8175774611348,60.6267663596737,-0.327534793003196,-149514861297.772,57.0,45.3,1897.6775222157,13.7248803755401,52.6932478038648,8.58899974822998,
SEN,2014,23.1526032786161,-1.09025507446894,3.5,0.493396921745117,2.71905100988297,,,86.5754884210226,58.4425289760992,3.37470117405547,0.0,61.0,45.1,1846.77388644545,13.3687650760268,53.6085329173623,7.625,
SEN,2015,23.586664319394,0.135211933635241,3.5,0.410335612173693,2.72463609047466,,6.90346066806869,86.1566847310014,58.1103376742017,3.50805418581042,143052213433.435,60.5,47.3,1797.1353244989,14.2825767344045,51.4368734328387,6.76000022888184,0.577199995517731
SEN,2016,23.3440535101312,0.837284942557418,3.5,0.412850831723072,2.7154429589038,,,85.6388630381695,54.1081692072139,3.52014027740535,305771941330.162,64.5,45.1,1748.99175370725,14.4140203888971,51.9681042834976,4.46000003814697,
SEN,2017,23.2776942790053,1.31815314847782,3.5,0.425013035878372,2.7179778377713,51.9004211425781,,84.9980496706653,57.7052798455617,4.5141105961554,325833983976.721,61.7000007629395,45.1,1702.09475746238,14.9820338201197,52.1708286457549,4.07999992370605,
SEN,2018,24.013239669164,0.46098564246427,3.5,0.430296591622468,2.71464328183934,,,84.279827269338,61.7893101353561,3.36482160369758,260722749944.391,66.0,45.1,1656.51048105642,14.9882478466068,52.1723415523123,3.5699999332428,
SEN,2019,23.5780332658357,1.75856517595659,3.5,0.409019724158939,2.69763115886709,,,83.506600983685,64.2497475276669,1.8292630702439,311124477940.798,70.4000015258789,44.8,1612.4212936856,14.8995730808313,50.9660843286623,2.85999989509583,
